GCF	BGC_Name
1_Refined	639_Penicillium_flavigenum
1_Refined	166_Bipolaris_sorokiniana
4_Refined	1007_Colletotrichum_tanaceti
4_Refined	1163_Plenodomus_tracheiphilus
5_Refined	281_Metarhizium_anisopliae
6_Refined	1571_Fusarium_proliferatum
6_Refined	17_Uncinocarpus_reesii
6_Refined	3152_Boeremia_exigua
7_Refined	432_Blastomyces_silverae
8_Refined	116_Fusarium_odoratissimum
9_Refined	3636_Aspergillus_niger
crm_Refined	318_Metarhizium_anisopliae
crm_Refined	930_Alternaria_tenuissima
crm_Refined	330_Fonsecaea_pedrosoi
dit (Clain 1)_Refined	1210_Saccharomyces_pastorianus
dit (Clain 2)_Refined	1607_Claviceps_purpurea
dit (Clain 3)_Refined	1337_Colletotrichum_viniferum
dit (Clain 3)_Refined	499_Alternaria_alternata
xan_Refined	7_Aspergillus_fumigatus
xan_Refined	3792_Fusarium_proliferatum